SOURCE	TARGET	FREQUENCY
s	t∫	9
k	kh	8
t	d	7
t	th	6
s	h	5
k	Ø	4
d	r	4
r	d	4
k	g	3
b	h	3
Ø	ʔ	3
j	s	3
g	k	3
b	p	3
b	vʔp	2
h	Ø	2
h	p	2
j	h	2
s	t	2
b	vʔb	2
j	sʔ	2
t	n	2
g	kʔ	1
d	t	1
k	t∫	1
j	d	1
r	j	1
p	b	1
r	h	1
h	j	1
w	b	1
b	ʔb	1
d	vʔr	1
g	vʔk	1
d	vʔt	1
s	ts	1
d	n	1
r	ʔd	1
n	d	1
Ø	k	1
d	vʔd	1
b	m	1
d	ɖ	1
b	pʔ	1
p	ph	1
