SOURCE	TARGET	FREQUENCY
ts	s	9
t∫	s	9
s	h	9
k	kh	8
kʔ	k	8
d	r	7
h	Ø	6
t	th	6
ʔ	Ø	5
t	d	5
dz	j	4
ts	h	4
kʔ	Ø	4
p	h	4
pʔ	p	3
kʔ	g	3
ts	j	3
s	t∫	3
pʔ	b	3
vʔb	b	3
vʔt	t	3
tsʔ	dz	3
tʔ	t	3
vʔd	d	3
ts	t∫	2
dz	d	2
dz	h	2
kʔ	vʔk	2
k	g	2
tsʔ	j	2
n	d	2
tsʔ	sʔ	2
t∫	h	2
vʔp	b	2
vʔt	d	2
pʔ	h	2
tʔ	d	2
vʔd	vʔr	1
vʔp	h	1
p	ph	1
dz	r	1
j	t∫	1
ʔ	h	1
dz	l	1
m	b	1
tsʔ	d	1
k	t∫	1
tʔ	n	1
pʔ	vʔb	1
w	b	1
tʔ	ɖ	1
pʔ	ʔb	1
k	Ø	1
tʔ	vʔd	1
vʔp	p	1
tʔ	ʔd	1
t∫	t	1
tʔ	r	1
ts	t	1
t	n	1
